Comment,Designator,Footprint,LCSC,Quantity
100n,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,1
10uF,"C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,2
DFN-6L-EP(2x2)_USB_PD_ROHS,U1,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C22373734,1
2.4k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22940,1
3.3k,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22978,1
5.1k,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23186,1
75k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23242,1
100m,"R2,R3",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C25334,2
100k,"R5,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,2
10k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,1
DFN-8-EP(2x2) Battery Management ROHS,U2,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,C2974724,1
USB_C_Receptacle_USB2.0_16P,J1,SHOUHAN_TYPE-C_16PIN_2MD__073_,C393939,1
1uF,C1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,1
NMOS,Q1,SOT-23_Handsoldering,C8545,1
INA219AxD,U3,SOT65P280X145-8N,C87469,1
